#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_tate,CA_Dummy,innout_tree
0,20839,62.432,26.50063211,0.023285331,0,39,24614,19,1.7,92.6,1876327.80,0,0
0,20801,83.477,22.72604284,-0.08993228,0,39,23712,242,-6.3,94,1876327.80,0,0
0,20559,120.55,21.31354167,-0.019785379,0,39,17946,42,6.8,93,1876327.80,0,0
0,20423,70.865,33.11844332,-0.115704346,0,39,17654,30,17,87.6,1876327.80,0,0
0,20367,108.405,38.89940828,-0.077592255,0,39,14525,152,-2.3,94.1,1876327.80,0,0
0,20287,126.369,21.29690722,0.072418626,0,39,20097,76,1,55.1,1876327.80,0,0
0,20208,348.2219059,13.60040568,-0.06017848,2,12,31587,54,1,79.3,191965.20,0,0
0,20032,79.34,20.76432432,-0.117568685,0,39,22417,22,0.4,88.1,1876327.80,0,0
0,19850,127.618,21.52524168,0.016278716,0,39,19128,44,-3.2,90.2,1876327.80,0,0
0,19834,132.157,21.71947195,-0.017614569,0,39,36169,269,-8.3,80,1876327.80,0,0
0,19721,122.334,20.99138859,-0.034699535,0,39,29578,23,8.3,88.4,1876327.80,0,0
0,19720,207.552,18.37675726,-0.010046953,0,39,23523,231,0.1,92.4,1876327.80,0,0
0,19651,95.77142822,6.149304482,0.069113774,0,12,14852,58,0,95.8,191965.20,0,0
0,19631,180.2,7.725812769,-0.014145049,0,267,20534,44,-4.8,90.8,2885627.30,1,0
0,19478,143.328,22.00569476,-0.024979814,1,39,29302,61,-9,95.2,1876327.80,0,0
0,19436,15.386,19.72063179,0.121736201,1,4,27467,41,7,87.3,385834.80,0,0
0,18804,433.94,1.881642275,0.032945109,1,267,22243,63,1.6,80,2885627.30,1,0
0,18675,96.854,12.25517702,-0.052963039,0,39,24152,80,-7.4,92.6,1876327.80,0,0
0,18665,0,14.77654517,-0.009718018,0,4,18868,31,3.1,93.4,385834.80,0,0
0,18428,124.044,16.52204586,0.088226753,0,39,24720,69,-1.2,94.8,1876327.80,0,0
0,18275,111.993,18.55645982,0.001592357,1,39,23631,30,0.3,91.8,1876327.80,0,0
0,18184,142.942,13.16189207,0.336128771,1,39,39169,272,5.2,95.8,1876327.80,0,0
0,17894,142.727,19.3249453,-0.047816712,0,39,23996,52,4.7,79.3,1876327.80,0,0
0,17785,184.789,18.86285097,-0.060054889,0,39,27544,45,-4,81.2,1876327.80,0,0
0,17687,52.712,26.98027314,0.034502822,0,39,27080,77,-17.8,91,1876327.80,0,0
0,17471,12.683,17.94129763,0.015920224,0,4,54441,120,11.2,97.3,385834.80,0,0
0,17393,72.312,28.20190779,0.067842523,0,39,24875,50,-6.9,92.1,1876327.80,0,0
0,17384,7.991,8.087511395,0.094903122,0,4,31838,25,6.6,95.1,385834.80,0,0
0,17225,123.39,11.59075224,-0.079776451,1,267,20195,44,5.3,89.4,2885627.30,1,0
0,17218,136.721,1.81651281,0.059595837,5,25,24369,88,9.8,88,165455.10,0,0
0,17074,133.355,21.82745098,-0.065375574,0,39,19470,23,-0.1,92.2,1876327.80,0,0
0,16985,127.589,18.71270718,0.000827374,1,39,22482,128,-3.2,85.4,1876327.80,0,0
0,16851,10.149,5.370484718,0.135147481,0,4,27070,61,7.9,81.2,385834.80,0,0
0,16845,219.81,3.417333333,-0.249450925,2,34,12828,43,7,76.5,356417.00,0,0
0,16839,80.559,19.625,0.010648538,2,39,17900,178,1.2,96.5,1876327.80,0,0
0,16539,317.6,5.484680574,0.042952771,1,3,28054,35,1.6,93.5,234806.20,0,0
0,16377,0.6,23.03596127,0.078342506,1,4,19481,39,4.4,85.3,385834.80,0,0
0,15877,144.38,14.34762349,-0.083685495,0,39,23035,59,-1,80,1876327.80,0,0
0,15818,198.94,5.288140925,0.219425504,0,267,19125,23,-2.2,87,2885627.30,1,0
0,15629,27.149,8.655471289,0.076467021,1,4,31713,57,7.3,95.1,385834.80,0,0
0,15202,363.961,3.169605374,-0.026246211,1,39,49986,238,-12.6,94,1876327.80,0,0
0,14971,102.892,18.40892642,0.084262877,5,39,21465,585,6.1,92.5,1876327.80,0,0
0,14823,121.381,19.62165775,-0.009916352,0,39,26109,690,-10.2,95.9,1876327.80,0,0
0,14727,106.339,16.00219298,-0.040878023,0,39,20081,68,6.2,71.6,1876327.80,0,0
0,14610,16.32705509,1.84769821,-0.020141055,0,12,27087,34,5.9,95.3,191965.20,0,0
0,14584,218.373,5.70626186,0.090909091,0,39,30526,877,-17.1,91.9,1876327.80,0,0
0,14531,0,2.98973392,-0.079770426,1,4,23365,45,-6.7,95.3,385834.80,0,0
0,13945,80.803,13.87775551,-0.011984591,0,39,23887,60,1.6,93,1876327.80,0,0
0,13781,112.483,15.30144605,0.015652688,0,39,21041,22,2.2,86.5,1876327.80,0,0
0,13695,76.225,19.17579251,-0.087555708,0,39,24926,19,2,95.5,1876327.80,0,0
0,13579,115.138,28.73819742,-0.019906323,4,39,19974,57,2.7,90.3,1876327.80,0,0
0,13540,128.444,14.37100213,-0.035351367,0,39,23368,31,-5.5,91.2,1876327.80,0,0
0,13291,308.37,4.228271564,-0.09224053,0,267,22008,79,11.1,90.4,2885627.30,1,0
0,13267,10.944,10.18,0.137288977,0,4,28506,40,3,91.7,385834.80,0,0
0,13240,0,2.770820156,-0.047335991,1,4,24623,75,-0.6,91.3,385834.80,0,0
0,13147,105.167,12.56496063,-0.086642341,0,39,32117,51,-7.5,91.8,1876327.80,0,0
0,12887,110.959,13.07106076,-0.06228297,0,39,20973,51,-8.3,92.2,1876327.80,0,0
0,12860,28.82405853,1.985768357,0.049028233,0,12,20370,65,1.4,86.4,191965.20,0,0
0,12532,128.745,12.3640257,-0.200553825,0,39,34850,37,-1.4,88.8,1876327.80,0,0
0,12498,34.101,63.68367347,0.006531731,0,39,29659,29,6.9,92.5,1876327.80,0,0
0,12371,132.935,13.38,-0.129472999,0,39,18503,65,-9.8,90.4,1876327.80,0,0
0,12162,27.12852567,21.58292282,0.388108565,1,12,11693,26,4.5,94.1,191965.20,0,0
0,12013,48.162,54.75545852,0.148891332,0,39,30392,17,3.6,91.7,1876327.80,0,0
0,11988,77.428,46.36904762,-0.096567187,0,39,23018,49,0.2,97,1876327.80,0,0
0,11966,0,7.224664225,-0.057126922,1,4,19039,43,7.9,96.5,385834.80,0,0
0,11964,185.1,6.146161417,0.117783943,0,3,21105,113,-5.9,94.5,234806.20,0,0
0,11937,102.484,13.03149606,-0.084262114,0,39,28541,54,-11.5,96.3,1876327.80,0,0
0,11685,95.08,10.73371648,-0.128615863,0,39,17519,27,3.7,94.6,1876327.80,0,0
0,11648,45.68138715,3.610849057,0.195393324,1,12,25857,48,15,89.9,191965.20,0,0
0,11476,1.131,12.50767544,-0.04798865,0,4,21104,37,-7,47.3,385834.80,0,0
0,11378,142.27,10.84134615,-0.022201023,1,39,24938,165,-11.8,89.4,1876327.80,0,0
0,11375,119.548,14.28349282,0.120379058,0,39,20675,419,-6.8,77.3,1876327.80,0,0
0,11313,63.578,16.41466855,0.108697723,0,39,18314,37,3.9,88,1876327.80,0,0
0,10413,55.072,36.21126761,-0.030268741,2,39,24134,42,2.2,94.4,1876327.80,0,0
0,10236,119.474,9.236914601,-0.064453125,0,39,26547,24,-3.2,94,1876327.80,0,0
0,10063,97.577,10.84095861,-0.026508853,0,39,18626,114,-6.5,90.7,1876327.80,0,0
0,10001,203.018,5.15672058,-0.215243592,0,39,26108,39,-1.1,94.2,1876327.80,0,0
0,9974,99.37,19.57637475,-0.112793059,0,39,25602,23,2,89.4,1876327.80,0,0
0,9944,0,4.217428088,-0.007268744,4,4,22902,51,-9.6,92.3,385834.80,0,0
0,9900,77.284,6.99074788,-0.223516314,0,39,26145,96,-3.5,93.6,1876327.80,0,0
0,9887,129.463,9.248334919,-0.074373869,0,39,23967,33,8.2,93.8,1876327.80,0,0
